"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TXNL4A","ENSG00000141759","TXNL4A","ENSG00000141759.13",5231,"protein_coding","10907",0.754317582233892,5.74761630657875,8.11422862760783,1.99550249431533e-12,1.9636318789385e-10,17.6843138421958
"RNF19B","ENSG00000116514","RNF19B","ENSG00000116514.15",2610,"protein_coding","127544",0.892229020345271,6.01885858588876,8.105712179027,2.07898359075326e-12,2.03116696816594e-10,17.6349328924379
"IGSF6","ENSG00000140749","IGSF6","ENSG00000140749.8",3532,"protein_coding","10261",1.56139171948385,3.16953040165336,8.10142805768702,2.12228435144921e-12,2.0587663375264e-10,17.8207031033916
"RNF6","ENSG00000127870","RNF6","ENSG00000127870.15",4621,"protein_coding","6049",-0.829879393158108,5.68809021720577,-8.09587457583869,2.17975484560326e-12,2.09962582944798e-10,17.6170148084913
"KIF5B","ENSG00000170759","KIF5B","ENSG00000170759.10",5877,"protein_coding","3799",-1.27172317147689,8.10332655754538,-8.09293775170532,2.21077083292016e-12,2.11461003165608e-10,17.5685173012545
"HAVCR2","ENSG00000135077","HAVCR2","ENSG00000135077.7",3804,"protein_coding","84868",1.70277852691149,3.26590652131406,8.08277095602754,2.32157817763995e-12,2.20517682734439e-10,17.7255659745222
"ZMYM2","ENSG00000121741","ZMYM2","ENSG00000121741.15",13618,"protein_coding","7750",-1.02830155165671,6.0457267591439,-8.06555761110643,2.5219419377857e-12,2.37897391896778e-10,17.4637542140031
"CLCN5","ENSG00000171365","CLCN5","ENSG00000171365.14",10619,"protein_coding","1184",-1.25330396437255,4.30610793764941,-8.05905119995735,2.60208474963445e-12,2.4377613154452e-10,17.5425775827303
"TDGF1","ENSG00000241186","TDGF1","ENSG00000241186.6",5013,"protein_coding","6997",-3.32387129460056,3.15334970764068,-8.04174172054378,2.82786248589554e-12,2.62106616412856e-10,17.5727290351785
"WAS","ENSG00000015285","WAS","ENSG00000015285.9",2381,"protein_coding","7454",1.5164196593835,2.95001679096479,8.04113865131874,2.83607100666053e-12,2.62106616412856e-10,17.5520569742066
"SH3D19","ENSG00000109686","SH3D19","ENSG00000109686.15",7789,"protein_coding","152503",-0.903316028716609,6.79827158017033,-8.02848655681892,3.01386025762546e-12,2.76668326200007e-10,17.267221869531
"ZBTB18","ENSG00000179456","ZBTB18","ENSG00000179456.10",3906,"protein_coding","10472",-0.975867580636243,5.44265260803583,-8.01929813530524,3.14989587818773e-12,2.856679414976e-10,17.2666515111611
"PIK3CD","ENSG00000171608","PIK3CD","ENSG00000171608.14",6332,"protein_coding","5293",1.48627552196928,3.43779148266902,8.01904907595183,3.15366714184366e-12,2.856679414976e-10,17.4099536369739
"APBB1IP","ENSG00000077420","APBB1IP","ENSG00000077420.14",3981,"protein_coding","54518",1.61284387722504,2.47099770335133,7.98306074935763,3.74867970573653e-12,3.37331848783317e-10,17.3071690558209
"CDH1","ENSG00000039068","CDH1","ENSG00000039068.17",6177,"protein_coding","999",-0.986130802177094,9.17186511730073,-7.96717399113521,4.04573397918565e-12,3.61683329198048e-10,16.9744361235712
"IL2RA","ENSG00000134460","IL2RA","ENSG00000134460.14",3176,"protein_coding","3559",1.79393978430865,2.08910163765795,7.95921070079837,4.20333885701601e-12,3.72824737209685e-10,17.2114377562672
"CD14","ENSG00000170458","CD14","ENSG00000170458.12",1886,"protein_coding","929",1.54320277492942,5.83014602339314,7.95814572720672,4.22487456261889e-12,3.72824737209685e-10,16.9405902446489
"PIK3R6","ENSG00000276231","PIK3R6","ENSG00000276231.3",3564,"protein_coding","146850",1.30842919085885,0.668810981843047,7.94861412779076,4.42257966977864e-12,3.87769517456617e-10,17.1723873688732
"CHIC1","ENSG00000204116","CHIC1","ENSG00000204116.10",6939,"protein_coding","53344",-1.38263799009423,3.02215082796243,-7.94359653168782,4.5303290397615e-12,3.94686882839858e-10,17.0970714082762
"FDXR","ENSG00000161513","FDXR","ENSG00000161513.10",3599,"protein_coding","2232",1.22011724902466,4.83511291168554,7.92273242974394,5.00712369887318e-12,4.33464797172072e-10,16.8279207023559
"CD52","ENSG00000169442","CD52","ENSG00000169442.7",935,"protein_coding","1043",1.65334505750579,3.42569810475231,7.91960835932254,5.08269390499484e-12,4.37239542342889e-10,16.9436474424635
"SH2D1A","ENSG00000183918","SH2D1A","ENSG00000183918.13",2450,"protein_coding","4068",2.04273196590981,0.260048538222068,7.91544046798213,5.18528478405555e-12,4.43277032976948e-10,17.0090681152554
"MIR9-3HG","ENSG00000255571","MIR9-3HG","ENSG00000255571.5",7265,"lincRNA","254559",2.08447181693569,-2.11011502218078,7.91101109131606,5.29657261322872e-12,4.49770820381759e-10,16.8469724488088
"GPX4","ENSG00000167468","GPX4","ENSG00000167468.15",2019,"protein_coding","2879",0.887220844645784,7.54958820270056,7.90981569707744,5.32701220221122e-12,4.49770820381759e-10,16.6914046614479
"IL18BP","ENSG00000137496","IL18BP","ENSG00000137496.16",4323,"protein_coding","10068",1.40017144893273,3.89814416601668,7.90710427557263,5.39670312857169e-12,4.50235664508386e-10,16.8386963018197
"FAM78A","ENSG00000126882","FAM78A","ENSG00000126882.11",5499,"protein_coding","286336",1.29807715094809,2.65268740146713,7.90704057429817,5.39835129254096e-12,4.50235664508386e-10,16.9400110343777
"HSPH1","ENSG00000120694","HSPH1","ENSG00000120694.18",8390,"protein_coding","10808",-1.48257708226006,7.35030799608094,-7.90283759469214,5.50821103285352e-12,4.56614003074972e-10,16.6698441769674
"FCER1G","ENSG00000158869","FCER1G","ENSG00000158869.9",964,"protein_coding","2207",1.69327391366421,4.39946067587352,7.90062624151338,5.56690333925549e-12,4.58699420929738e-10,16.7636680925805
"MAD2L2","ENSG00000116670","MAD2L2","ENSG00000116670.13",3324,"protein_coding","10459",0.880888484651013,4.7548229071247,7.89730094992723,5.65633522666152e-12,4.61112379245746e-10,16.7119436880728
"ARFGEF2","ENSG00000124198","ARFGEF2","ENSG00000124198.8",8945,"protein_coding","10564",-0.985590645360348,6.67212330248944,-7.89703270316715,5.66361161816678e-12,4.61112379245746e-10,16.6459924797875
"SLC31A2","ENSG00000136867","SLC31A2","ENSG00000136867.9",2504,"protein_coding","1318",1.34188345975615,0.232230714128198,7.88776251887062,5.92088063101824e-12,4.79205948349512e-10,16.8810017858963
"HLA-DRB5","ENSG00000198502","HLA-DRB5","ENSG00000198502.5",1260,"protein_coding","3127",2.54087348963851,6.00526779251436,7.87472906246719,6.30238219857704e-12,5.07082257130216e-10,16.5487473172245
"SLC19A2","ENSG00000117479","SLC19A2","ENSG00000117479.11",3671,"protein_coding","10560",-0.952565600042955,4.07922260029378,-7.86826014413988,6.50072307998016e-12,5.18557423467026e-10,16.651687210041
"IYD","ENSG00000009765","IYD","ENSG00000009765.13",10362,"protein_coding","389434",-2.09380636183285,4.32995156442614,-7.86761544106221,6.52082737507884e-12,5.18557423467026e-10,16.6563248159506
"KLRC1","ENSG00000134545","KLRC1","ENSG00000134545.12",2698,"protein_coding","3821",2.58485746648183,-2.15599536509488,7.86574802504457,6.57941047527281e-12,5.20191771565211e-10,16.6440573613202
"PTPRB","ENSG00000127329","PTPRB","ENSG00000127329.13",14542,"protein_coding","5787",-0.873144774278245,5.09329299687347,-7.8468901809819,7.20116923060041e-12,5.6607811917329e-10,16.4690006461411
"CD72","ENSG00000137101","CD72","ENSG00000137101.11",3386,"protein_coding","971",1.4441444747534,1.63211216981443,7.82121647636108,8.14267199766062e-12,6.36431243337154e-10,16.5796547277999
"EBI3","ENSG00000105246","EBI3","ENSG00000105246.5",1284,"protein_coding","10148",1.49996022249467,0.626930141240881,7.81971249980768,8.20147712240861e-12,6.37385250456278e-10,16.5752394886262
"ELP5","ENSG00000170291","ELP5","ENSG00000170291.13",2768,"protein_coding","23587",0.868803064823995,4.84608686367106,7.78338283515998,9.7577522591242e-12,7.5404822260057e-10,16.1666331445077
"PARP3","ENSG00000041880","PARP3","ENSG00000041880.13",2928,"protein_coding","10039",1.01013501984562,4.70129229741449,7.76213204496632,1.0800878822435e-11,8.29968654681267e-10,16.0784014331673
"MCUB","ENSG00000005059","MCUB","ENSG00000005059.14",3566,"protein_coding","55013",1.21026466420942,4.17666035155994,7.75748521480003,1.10433642210358e-11,8.43861093940379e-10,16.105380212719
"LNX2","ENSG00000139517","LNX2","ENSG00000139517.7",4627,"protein_coding","222484",-0.958263577467672,5.32673336095788,-7.74662036499584,1.16316719413583e-11,8.83877826743885e-10,15.9825416106789
"GBP4","ENSG00000162654","GBP4","ENSG00000162654.8",6127,"protein_coding","115361",2.48974936776909,5.27061120552236,7.73898921439936,1.20634251894321e-11,9.1162171127653e-10,15.9449951593539
"LMF2","ENSG00000100258","LMF2","ENSG00000100258.16",3054,"protein_coding","91289",0.908892200193749,6.29897531980618,7.73661619436336,1.22009080475217e-11,9.16945166340667e-10,15.878964021982
"GBP5","ENSG00000154451","GBP5","ENSG00000154451.13",8143,"protein_coding","115362",2.60358796750205,3.53382247572304,7.73217279822199,1.24625459714351e-11,9.31490184684641e-10,16.062053088161
"PARVG","ENSG00000138964","PARVG","ENSG00000138964.15",8656,"protein_coding","64098",1.35429991160134,2.75881693154193,7.72922090280557,1.26394392886411e-11,9.39577448858874e-10,16.1003526844011
"APOL2","ENSG00000128335","APOL2","ENSG00000128335.12",3484,"protein_coding","23780",1.35381315683175,5.34588924649072,7.71993148333221,1.3212574927239e-11,9.7687351272851e-10,15.8356611801788
"ZDHHC18","ENSG00000204160","ZDHHC18","ENSG00000204160.10",5436,"protein_coding","84243",0.64295103349763,5.08209507400013,7.71690347953369,1.34049271327368e-11,9.85766630761153e-10,15.8365197739553
"CD48","ENSG00000117091","CD48","ENSG00000117091.8",3274,"protein_coding","962",1.59414184951636,2.94406235861162,7.70680746297684,1.4066627040675e-11,1.02889478429065e-09,15.9829069085064
"LRRC2","ENSG00000163827","LRRC2","ENSG00000163827.11",5622,"protein_coding","79442",-2.47589044906586,1.19987686571682,-7.68722123395175,1.54443854759962e-11,1.1236611943653e-09,15.9655157723
"CXCL9","ENSG00000138755","CXCL9","ENSG00000138755.5",2740,"protein_coding","4283",2.84169178636975,4.87185133933581,7.68463900273997,1.56357705058919e-11,1.13156650253751e-09,15.726509318823
"NINJ1","ENSG00000131669","NINJ1","ENSG00000131669.8",2648,"protein_coding","4814",0.945814600873892,5.51474477347848,7.66219833712213,1.74015052139559e-11,1.25272520166573e-09,15.5538038355779
"CTLA4","ENSG00000163599","CTLA4","ENSG00000163599.13",2120,"protein_coding","1493",1.68059770858623,0.938324512951509,7.64518924653541,1.88707757955377e-11,1.35138466665636e-09,15.7717980331025
"DHX58","ENSG00000108771","DHX58","ENSG00000108771.11",3843,"protein_coding","79132",1.10087903709647,3.69748171764379,7.63871938720758,1.94614914409649e-11,1.38642854129957e-09,15.5945510253836
"RAB42","ENSG00000188060","RAB42","ENSG00000188060.6",2180,"protein_coding","115273",1.4161957936452,0.969064528671368,7.62863969260865,2.04186452407948e-11,1.44707890986317e-09,15.6954352046417
"CD38","ENSG00000004468","CD38","ENSG00000004468.11",6855,"protein_coding","952",1.97509697187898,2.10170265014291,7.62042950707638,2.1232760192581e-11,1.49701904079445e-09,15.6317818016199
"PSMB9","ENSG00000240065","PSMB9","ENSG00000240065.6",3072,"protein_coding","5698",1.54018256106769,6.56052370356983,7.61548520840421,2.17385232405092e-11,1.51424171258118e-09,15.3041664114719
"ELF1","ENSG00000120690","ELF1","ENSG00000120690.12",4401,"protein_coding","1997",-0.855303951524236,6.4647710940934,-7.61515998777496,2.17722076277316e-11,1.51424171258118e-09,15.3184107593778
"CXXC1","ENSG00000154832","CXXC1","ENSG00000154832.13",4319,"protein_coding","30827",0.889034507447039,5.59179345478945,7.61480384150374,2.18091546555412e-11,1.51424171258118e-09,15.3273029057027
"ACP5","ENSG00000102575","ACP5","ENSG00000102575.9",2814,"protein_coding","54",1.51363173314273,5.64861924884558,7.61148343364106,2.21566322227494e-11,1.5305980582968e-09,15.3107658124648
"FCGR1A","ENSG00000150337","FCGR1A","ENSG00000150337.12",2998,"protein_coding","2209",1.75967402426442,1.053563008603,7.6083652063269,2.24879628598386e-11,1.54568018088881e-09,15.6016039944662
"KRT86","ENSG00000170442","KRT86","ENSG00000170442.10",2394,"protein_coding","3892",1.93124516981066,-0.5816113871148,7.59966931016254,2.34382133832875e-11,1.60293941328303e-09,15.531250027464
"LILRB4","ENSG00000186818","LILRB4","ENSG00000186818.11",6328,"protein_coding","11006",1.99339552512895,3.61506612835371,7.58956095272693,2.45930987935285e-11,1.67355425521334e-09,15.3800048036253
"MAX","ENSG00000125952","MAX","ENSG00000125952.17",4430,"protein_coding","4149",0.673989300023877,6.04065949044625,7.58598059613449,2.5015584560553e-11,1.69387705752101e-09,15.1765743652936
"TMC7","ENSG00000170537","TMC7","ENSG00000170537.11",5638,"protein_coding","79905",-1.39025628444209,3.93968623467061,-7.58368060174916,2.52907855381255e-11,1.70222183183959e-09,15.337097934213
"TNFRSF4","ENSG00000186827","TNFRSF4","ENSG00000186827.9",1721,"protein_coding","7293",1.33353848901523,2.0508434046507,7.58287638191948,2.53877214282262e-11,1.70222183183959e-09,15.4591962559673
"SQLE","ENSG00000104549","SQLE","ENSG00000104549.10",4305,"protein_coding","6713",-1.4141328430961,6.25549601392268,-7.57598828991275,2.62332496148005e-11,1.750333601128e-09,15.1489910988517
"SASH3","ENSG00000122122","SASH3","ENSG00000122122.9",2711,"protein_coding","54440",1.50593763186312,3.57934392711778,7.56927454061047,2.70843111922889e-11,1.7976445790995e-09,15.2842160653342
"TYW1","ENSG00000198874","TYW1","ENSG00000198874.11",3890,"protein_coding","55253",-0.609172651574944,4.52646742288153,-7.56826980600272,2.72140154643738e-11,1.7976445790995e-09,15.1950765861925
"TGOLN2","ENSG00000152291","TGOLN2","ENSG00000152291.12",7081,"protein_coding","10618",-0.969992594214541,8.28104065862072,-7.56732455793183,2.73366042149945e-11,1.7976445790995e-09,15.082191538439
"ARFGEF1","ENSG00000066777","ARFGEF1","ENSG00000066777.7",10970,"protein_coding","10565",-0.809221658224485,6.32936254466473,-7.56376431313685,2.7803279430885e-11,1.81958495720404e-09,15.0797595514679
"FCRL6","ENSG00000181036","FCRL6","ENSG00000181036.12",2671,"protein_coding","343413",2.39447534582064,-1.27746696787284,7.56155818389572,2.80964240700124e-11,1.82300238712287e-09,15.3230375514648
"CCL3","ENSG00000277632","CCL3","ENSG00000277632.1",1494,"protein_coding","6348",1.77005222626013,2.39782873286623,7.56136636218171,2.81220575875804e-11,1.82300238712287e-09,15.3422402791949
"STAU1","ENSG00000124214","STAU1","ENSG00000124214.18",4094,"protein_coding","6780",-0.702391076563774,7.7425825120326,-7.5590131197257,2.84384248966038e-11,1.8348149798856e-09,15.0412812678872
"VPS36","ENSG00000136100","VPS36","ENSG00000136100.11",5614,"protein_coding","51028",-0.775114176719226,6.01035404921028,-7.55535670942838,2.89370233661884e-11,1.8582188056466e-09,15.0493743440519
"CD300C","ENSG00000167850","CD300C","ENSG00000167850.3",1517,"protein_coding","10871",1.42213500529112,0.487709775575524,7.54618120968353,3.02268226188847e-11,1.9319742045846e-09,15.3150531426772
"NONO","ENSG00000147140","NONO","ENSG00000147140.14",5292,"protein_coding","4841",-0.610688905950541,8.85242623337302,-7.54261819680473,3.07429424719143e-11,1.95582310293416e-09,14.9683079408431
"MS4A6A","ENSG00000110077","MS4A6A","ENSG00000110077.13",5791,"protein_coding","64231",1.57323056859896,4.24243854828289,7.53593586229217,3.1734650481901e-11,2.00956735783075e-09,15.0625794976629
"APOL3","ENSG00000128284","APOL3","ENSG00000128284.18",5901,"protein_coding","80833",1.73984549977318,4.36864508188884,7.52669815160885,3.31581704335838e-11,2.09003435571686e-09,15.0095819836141
"RAB3GAP2","ENSG00000118873","RAB3GAP2","ENSG00000118873.14",10344,"protein_coding","25782",-0.768720383746589,5.22917950075611,-7.51893907628849,3.440275978602e-11,2.15853646033569e-09,14.9161283495028
"SLAMF7","ENSG00000026751","SLAMF7","ENSG00000026751.15",4833,"protein_coding","57823",2.15587419769389,3.59712528600272,7.50852299902153,3.61468524242076e-11,2.25761026236672e-09,15.0051280158984
"TSPAN4","ENSG00000214063","TSPAN4","ENSG00000214063.9",5841,"protein_coding","7106",1.29453792179765,4.48376907107843,7.50417358916871,3.69008861036642e-11,2.29193695994963e-09,14.8888209872578
"S1PR4","ENSG00000125910","S1PR4","ENSG00000125910.5",1664,"protein_coding","8698",1.57013221156448,1.30050694057024,7.5033912969033,3.70381574774883e-11,2.29193695994963e-09,15.1150768474055
"CYTH4","ENSG00000100055","CYTH4","ENSG00000100055.19",6161,"protein_coding","27128",1.50884333413506,3.43527623194422,7.50180128184556,3.73187288950273e-11,2.29193695994963e-09,14.9833665202649
"SCO2","ENSG00000130489","SCO2","ENSG00000130489.11",1361,"protein_coding",NA,1.01659971473357,4.74291922233898,7.50153052626259,3.73667160453844e-11,2.29193695994963e-09,14.8514285772251
"CLIC3","ENSG00000169583","CLIC3","ENSG00000169583.12",1177,"protein_coding","9022",2.02460090360611,2.06672860731524,7.48562103648921,4.0296792388243e-11,2.46062288520709e-09,15.0094235800654
"NCF1","ENSG00000158517","NCF1","ENSG00000158517.12",3462,"protein_coding","653361",1.8167052589566,1.06819746224688,7.48211551947626,4.09725021086735e-11,2.4907639281886e-09,15.0206489500168
"DIAPH2","ENSG00000147202","DIAPH2","ENSG00000147202.16",9550,"protein_coding","1730",-0.921717689011057,5.44728300541846,-7.47941072563671,4.15015542943594e-11,2.50958161230879e-09,14.7218821955192
"ITGAL","ENSG00000005844","ITGAL","ENSG00000005844.16",6472,"protein_coding","3683",1.70213732610172,3.71736260402248,7.47774213965552,4.18313069409777e-11,2.50958161230879e-09,14.8454860015418
"ANKRD26","ENSG00000107890","ANKRD26","ENSG00000107890.15",7941,"protein_coding","22852",-1.25208521013495,2.42785750928742,-7.47760366399801,4.18587897982239e-11,2.50958161230879e-09,14.9575923813125
"HAPLN3","ENSG00000140511","HAPLN3","ENSG00000140511.10",3524,"protein_coding","145864",1.71154638173807,4.35201021764298,7.47681351612757,4.20159518364317e-11,2.50958161230879e-09,14.7786854637166
"SIGLEC7","ENSG00000168995","SIGLEC7","ENSG00000168995.12",2043,"protein_coding","27036",1.46108812683116,0.420058880369506,7.47196186614709,4.29938932374845e-11,2.55682813783615e-09,14.9748203169308
"ZC3H12B","ENSG00000102053","ZC3H12B","ENSG00000102053.12",7829,"protein_coding","340554",-1.46962133006726,1.31032531132106,-7.46171988144755,4.51332693323179e-11,2.65544659692277e-09,14.9247510564176
